segment,rows,positive_rate,auc
missing_count_0,269185,0.7081226665676023,0.9719575717606124
missing_count_1,180459,0.7089699045212486,0.9681853645570041
missing_count_2,120697,0.7111775769074625,0.9603172144623924
missing_count_3,67328,0.7117841017110266,0.9481447185178202
missing_count_4plus,53700,0.7105772811918063,0.9227529953226535
age__missing,28929,0.713401776763801,0.9603737709533614
daily_screen_time_hours__missing,95854,0.711300519540134,0.9324122747469332
social_media_hours__missing,133995,0.7094145303929251,0.9430608976157471
gaming_hours__missing,126821,0.7105053579454507,0.9516892077257082
work_study_hours__missing,51518,0.7106448231686012,0.9576267681766015
sleep_hours__missing,44480,0.7133767985611511,0.9606481231024628
notifications_per_day__missing,67584,0.7102420691287878,0.9480863659644156
app_opens_per_day__missing,80710,0.7127865196382108,0.9508093418866097
weekend_screen_time__missing,112063,0.7106538286499559,0.9412680269507105
gender__missing,29034,0.7087896948405318,0.9605221245878015
stress_level__missing,55148,0.7090012330456227,0.9601655017364785
academic_work_impact__missing,44224,0.7094564037626628,0.9608525977032022
